Date,Comp,Venue,Result,GF,GA,xG,xGA,Poss,Opponent,Team,Season,GoalDiff,xGDiff,Outcome
2024-05-03,La Liga,Away,W,2.0,0.0,0.6,4.5,36.0,Getafe,Athletic-Club-Bilbao,2023-2024,2.0,-3.9,Win
2024-05-11,La Liga,Home,D,2.0,2.0,1.4,1.0,67.0,Osasuna,Athletic-Club-Bilbao,2023-2024,0.0,0.3999999999999999,Draw
2024-05-15,La Liga,Away,L,1.0,2.0,0.2,0.7,47.0,Celta Vigo,Athletic-Club-Bilbao,2023-2024,-1.0,-0.49999999999999994,Loss
2024-05-19,La Liga,Home,W,2.0,0.0,1.6,0.9,53.0,Sevilla,Athletic-Club-Bilbao,2023-2024,2.0,0.7000000000000001,Win
2024-05-25,La Liga,Away,W,1.0,0.0,0.9,1.1,37.0,Rayo Vallecano,Athletic-Club-Bilbao,2023-2024,1.0,-0.20000000000000007,Win
2024-08-15,La Liga,Home,D,1.0,1.0,0.3,0.8,68.0,Getafe,Athletic-Club-Bilbao,2024-2025,0.0,-0.5,Draw
2024-08-24,La Liga,Away,L,1.0,2.0,1.0,1.8,36.0,Barcelona,Athletic-Club-Bilbao,2024-2025,-1.0,-0.8,Loss
2024-08-28,La Liga,Home,W,1.0,0.0,1.4,0.1,50.0,Valencia,Athletic-Club-Bilbao,2024-2025,1.0,1.2999999999999998,Win
2024-08-31,La Liga,Home,L,0.0,1.0,0.3,1.7,53.0,Atlético Madrid,Athletic-Club-Bilbao,2024-2025,-1.0,-1.4,Loss
2024-09-15,La Liga,Away,W,3.0,2.0,1.7,1.4,36.0,Las Palmas,Athletic-Club-Bilbao,2024-2025,1.0,0.30000000000000004,Win
2024-09-19,La Liga,Away,W,2.0,0.0,1.3,0.9,52.0,Leganés,Athletic-Club-Bilbao,2024-2025,2.0,0.4,Win
2024-09-22,La Liga,Home,W,3.0,1.0,0.7,1.3,33.0,Celta Vigo,Athletic-Club-Bilbao,2024-2025,2.0,-0.6000000000000001,Win
2024-09-26,Europa Lg,Away,D,1.0,1.0,1.0,0.5,40.0,it Roma,Athletic-Club-Bilbao,2024-2025,0.0,0.5,Draw
2024-09-29,La Liga,Home,D,1.0,1.0,2.0,1.1,39.0,Sevilla,Athletic-Club-Bilbao,2024-2025,0.0,0.8999999999999999,Draw
2024-10-03,Europa Lg,Home,W,2.0,0.0,1.4,0.4,55.0,nl AZ Alkmaar,Athletic-Club-Bilbao,2024-2025,2.0,0.9999999999999999,Win
2024-10-06,La Liga,Away,L,1.0,2.0,3.1,1.9,34.0,Girona,Athletic-Club-Bilbao,2024-2025,-1.0,1.2000000000000002,Loss
2024-10-19,La Liga,Home,W,4.0,1.0,1.3,0.2,56.0,Espanyol,Athletic-Club-Bilbao,2024-2025,3.0,1.1,Win
2024-10-24,Europa Lg,Home,W,1.0,0.0,0.2,1.1,40.0,cz Slavia Prague,Athletic-Club-Bilbao,2024-2025,1.0,-0.9000000000000001,Win
2024-10-28,La Liga,Away,D,0.0,0.0,0.6,0.5,67.0,Mallorca,Athletic-Club-Bilbao,2024-2025,0.0,0.09999999999999998,Draw
2024-11-03,La Liga,Home,D,1.0,1.0,4.0,0.9,50.0,Betis,Athletic-Club-Bilbao,2024-2025,0.0,3.1,Draw
2024-11-07,Europa Lg,Away,W,2.0,1.0,1.6,0.8,59.0,bg Ludogorets,Athletic-Club-Bilbao,2024-2025,1.0,0.8,Win
2024-11-10,La Liga,Away,D,1.0,1.0,1.2,0.6,66.0,Valladolid,Athletic-Club-Bilbao,2024-2025,0.0,0.6,Draw
